crash_date,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code_1,vehicle_type_code_2,crash_datetime,hour,month,month_name,day_of_week,is_weekend,is_fatal
2020-08-29,MANHATTAN,10032.0,40.838375,-73.94613,,,910 RIVERSIDE DRIVE,0,0,0,0,0,0,0,0,Unspecified,,4343043,Station Wagon/Sport Utility Vehicle,,2020-08-29 11:52:00,11,8,August,Saturday,True,False
2020-08-29,,,,,MANHATTAN BR UPPER,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4343566,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 17:44:00,17,8,August,Saturday,True,False
2020-08-29,BRONX,10454.0,40.81373,-73.9221,3 AVENUE,EAST 144 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,4343119,Station Wagon/Sport Utility Vehicle,,2020-08-29 08:54:00,8,8,August,Saturday,True,False
2020-08-29,BRONX,10469.0,40.861034,-73.83617,,,2400 GUNTHER AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343289,Sedan,Sedan,2020-08-29 15:00:00,15,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11236.0,40.651157,-73.918144,REMSEN AVENUE,AVENUE A,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4343098,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020-08-29 18:00:00,18,8,August,Saturday,True,False
2020-08-29,STATEN ISLAND,10306.0,40.55573,-74.123375,CHESTERTON AVENUE,GRAYSON STREET,,0,0,0,0,0,0,0,0,Unspecified,,4342765,Sedan,,2020-08-29 23:15:00,23,8,August,Saturday,True,False
2020-08-29,QUEENS,11374.0,40.727623,-73.87089,,,61-60 WOODHAVEN BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,4342916,Box Truck,,2020-08-29 00:02:00,0,8,August,Saturday,True,False
2020-08-29,,,40.764122,-73.812775,ROOSEVELT AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4342723,Sedan,,2020-08-29 07:00:00,7,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11212.0,40.668324,-73.902336,,,455 SUTTER AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4342799,Sedan,,2020-08-29 14:00:00,14,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11214.0,40.599705,-73.99016,86 STREET,BAY 35 STREET,,1,0,1,0,0,0,0,0,Driver Inexperience,,4342904,Sedan,,2020-08-29 02:54:00,2,8,August,Saturday,True,False
2020-08-29,,,40.786003,-73.80219,CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4342756,Sedan,Sedan,2020-08-29 21:15:00,21,8,August,Saturday,True,False
2020-08-29,BRONX,10461.0,40.838074,-73.83333,,,2831 LASALLE AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,4343552,Convertible,Sedan,2020-08-29 19:00:00,19,8,August,Saturday,True,False
2020-08-29,,,40.821636,-73.93909,WEST 145 STREET,,,1,0,1,0,0,0,0,0,Other Vehicular,,4343561,Taxi,,2020-08-29 01:39:00,1,8,August,Saturday,True,False
2020-08-29,,,40.710476,-73.963844,BEDFORD AVENUE,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,4343076,Station Wagon/Sport Utility Vehicle,Bike,2020-08-29 16:10:00,16,8,August,Saturday,True,False
2020-08-29,,,,,BELT PARKWAY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,4342735,Sedan,Sedan,2020-08-29 07:47:00,7,8,August,Saturday,True,False
2020-08-29,,,40.625916,-74.13452,,,1351 FOREST AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343564,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 18:00:00,18,8,August,Saturday,True,False
2020-08-29,,,40.650944,-73.905975,ROCKAWAY AVENUE,AVENUE D,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,4342762,PK,Sedan,2020-08-29 04:10:00,4,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11218.0,40.65188,-73.97247,,,210 PROSPECT PARK SOUTHWEST,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4342698,Sedan,Sedan,2020-08-29 00:30:00,0,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10025.0,40.801563,-73.96237,,,125 WEST 109 STREET,1,0,1,0,0,0,0,0,Unspecified,,4343181,Station Wagon/Sport Utility Vehicle,,2020-08-29 20:35:00,20,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11210.0,40.633717,-73.95073,,,2704 GLENWOOD ROAD,0,0,0,0,0,0,0,0,Unspecified,,4342812,Sedan,,2020-08-29 12:45:00,12,8,August,Saturday,True,False
2020-08-29,,,,,VANWYCK EXPRESSWAY,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,4343453,Sedan,,2020-08-29 20:59:00,20,8,August,Saturday,True,False
